key,english_source,current_telugu_translation,status,reviewer_notes
earnings_hub.insurance,Worker insurance,కార్మిక బీమా,translated,
earnings_hub.insurance_hint,Accident cover while you work,పని చేస్తున్నప్పుడు ప్రమాద కవరేజ్,translated,
earnings_hub.insurance_active,Active,క్రియాశీలం,translated,
earnings_hub.insurance_inactive,Not active,నిష్క్రియం,translated,
earnings_hub.insurance_since,Since {{date}},{{date}} నుండి,translated,
earnings_hub.insurance_cta,Get covered,రక్షణ పొందండి,translated,
earnings_hub.promo_title,"More security.
More benefits.","మరింత భద్రత.
మరింత ప్రయోజనాలు.",translated,
earnings_hub.promo_body,Explore insurances and financial tools made for you.,మీ కోసం రూపొందించిన బీమా మరియు ఆర్థిక సాధనాలను అన్వేషించండి.,translated,
earnings_hub.promo_cta,Explore now,ఇప్పుడే అన్వేషించండి,translated,
earnings_hub.collect,Collect (QR),,MISSING — needs translation,
earnings_hub.collect_hint,Get paid by QR → wallet,,MISSING — needs translation,
earnings_hub.collect_top,Bank + QR,,MISSING — needs translation,
earnings_hub.collect_caption,Withdraw anytime,,MISSING — needs translation,
profile_groups.grow,Grow your career,మీ కెరీర్‌ను పెంచుకోండి,translated,
profile_groups.rights,Your rights & safety,మీ హక్కులు & భద్రత,translated,
profile_groups.account,Resume & account,రెజ్యూమ్ & ఖాతా,translated,
profile_groups.connect,Find work buddies,పని సహచరులను కనుగొనండి,translated,
home.title,Doondo,Doondo,translated,
home.modes.today,Today,ఈ రోజు,translated,
home.modes.this_week,This week,ఈ వారం,translated,
home.modes.career,Career,కెరీర్,translated,
home.voice_card.title,Find jobs through voice,వాయిస్‌తో ఉద్యోగాలు వెతకండి,translated,
home.voice_card.hint,Tell us what work you want,మీకు ఏ పని కావాలో చెప్పండి,translated,
home.categories_section_label,Job categories,ఉద్యోగ వర్గాలు,translated,
home.nearby_jobs,Nearby jobs,సమీపంలోని ఉద్యోగాలు,translated,
home.view_all,View all,అన్నీ చూడండి,translated,
home.see_more,See more,మరిన్ని,translated,
home.categories.delivery,Delivery,డెలివరీ,translated,
home.categories.driver,Driver,డ్రైవర్,translated,
home.categories.electrician,Electrician,ఎలక్ట్రీషియన్,translated,
home.categories.helper,Helper,సహాయకుడు,translated,
home.categories.mason,Mason,మేస్త్రి,translated,
home.location.your_area,Your area,మీ ప్రాంతం,translated,
home.location.locating,Locating…,స్థానం కనుగొంటోంది…,translated,
home.location.finding_jobs,Finding nearby jobs…,సమీపంలోని ఉద్యోగాలను కనుగొంటోంది…,translated,
home.location.nearby_count_one,{{count}} nearby job,{{count}} సమీప ఉద్యోగం,translated,
home.location.nearby_count_other,{{count}} nearby jobs,{{count}} సమీప ఉద్యోగాలు,translated,
home.jobs.empty_no_jobs_nearby,No jobs near you right now. Pull to refresh.,ప్రస్తుతం మీ సమీపంలో ఉద్యోగాలు లేవు. రిఫ్రెష్ చేయడానికి కిందికి లాగండి.,translated,
home.jobs.default_employer,Doondo Employer,Doondo యజమాని,translated,
home.jobs.apply_now,Apply Now,ఇప్పుడే దరఖాస్తు చేయండి,translated,
home.hero.eyebrow,OPPORTUNITIES DAILY,ప్రతిరోజూ అవకాశాలు,translated,
home.hero.headline,Find the right jobs near you,మీ సమీపంలో సరైన ఉద్యోగాలను కనుగొనండి,translated,
home.hero.cta,Explore Jobs,ఉద్యోగాలను చూడండి,translated,
home.hero.cta_a11y,Explore jobs,ఉద్యోగాలను చూడండి,translated,
home.feed.empty_today_title,No same-day jobs nearby,ఈ రోజు సమీపంలో ఉద్యోగాలు లేవు,translated,
home.feed.empty_today_hint,"Pull to refresh, or switch to Career for longer-term roles.","రిఫ్రెష్ చేయడానికి లాగండి, లేదా దీర్ఘకాలిక పాత్రల కోసం కెరీర్‌కి మారండి.",translated,
home.feed.empty_this_week_title,No short contracts posted this week,ఈ వారం చిన్న ఒప్పందాలు పోస్ట్ చేయబడలేదు,translated,
home.feed.empty_this_week_hint,Try a wider trade filter or check back tomorrow.,విస్తృత ట్రేడ్ ఫిల్టర్‌ను ప్రయత్నించండి లేదా రేపు మళ్లీ చూడండి.,translated,
home.feed.browse_by_trade,Browse by trade,ట్రేడ్ ప్రకారం బ్రౌజ్ చేయండి,translated,
home.feed.view_all_arrow,View all →,అన్నీ చూడండి →,translated,
home.feed.clear_filters_one,Clear {{count}} filter,{{count}} ఫిల్టర్‌ను తొలగించండి,translated,
home.feed.clear_filters_other,Clear {{count}} filters,{{count}} ఫిల్టర్‌లను తొలగించండి,translated,
home.feed.locating,Locating…,స్థానం కనుగొంటోంది…,translated,
home.job_card.urgent,URGENT,అత్యవసరం,translated,
home.job_card.distance_away,{{distance}} away,{{distance}} దూరం,translated,
home.job_card.start_today,Start Today,ఈ రోజే ప్రారంభించండి,translated,
home.job_card.immediate,Immediate,తక్షణం,translated,
home.job_card.flexible,Flexible,సరళమైన,translated,
home.job_card.schedule,Schedule,షెడ్యూల్,translated,
home.job_card.tap_to_call_apply,Tap to call / apply,కాల్ / దరఖాస్తుకు ట్యాప్ చేయండి,translated,
home.job_card.view_details,View details,వివరాలను చూడండి,translated,
home.job_card.tap_to_call_apply_a11y,Tap to call or apply,కాల్ చేయడానికి లేదా దరఖాస్తు చేయడానికి ట్యాప్ చేయండి,translated,
home.job_card.view_job_a11y,View job,ఉద్యోగాన్ని చూడండి,translated,
home.job_card.job_a11y_label,"{{title}}, {{pay}}","{{title}}, {{pay}}",translated,
home.job_card.driving_license_required,Driving License: Required,డ్రైవింగ్ లైసెన్స్: అవసరం,translated,
home.job_card.skill_required_suffix,{{skill}}: Required,{{skill}}: అవసరం,translated,
home.beacon.chip_inactive_title,Tell employers I'm available now,నేను ఇప్పుడు అందుబాటులో ఉన్నాను అని యజమానులకు చెప్పండి,translated,
home.beacon.chip_inactive_hint,Nearby employers will see you in their list,సమీపంలోని యజమానులు మిమ్మల్ని వారి జాబితాలో చూస్తారు,translated,
home.beacon.chip_active_title,Available — {{left}} left,అందుబాటులో — {{left}} మిగిలింది,translated,
home.beacon.chip_active_hint,Until {{time}} · tap to edit,{{time}} వరకు · సవరించడానికి ట్యాప్ చేయండి,translated,
home.beacon.chip_a11y_active,Edit availability beacon,అందుబాటు బీకన్‌ను సవరించండి,translated,
home.beacon.chip_a11y_inactive,Tell employers you are available,మీరు అందుబాటులో ఉన్నారని యజమానులకు చెప్పండి,translated,
home.beacon.stop,Stop,ఆపండి,translated,
home.beacon.stop_confirm_title,Stop broadcasting?,ప్రసారాన్ని ఆపాలా?,translated,
home.beacon.stop_confirm_body,Employers near you will no longer see you as available.,మీ సమీపంలోని యజమానులు ఇకపై మిమ్మల్ని అందుబాటులో ఉన్నట్లు చూడరు.,translated,
home.beacon.couldnt_withdraw_title,Couldn't withdraw,ఉపసంహరించలేకపోయాము,translated,
home.beacon.couldnt_withdraw_body,Try again.,మళ్లీ ప్రయత్నించండి.,translated,
home.beacon.expiring,expiring,ముగుస్తోంది,translated,
home.beacon.minutes_short,{{n}} min,{{n}} నిమి,translated,
home.beacon.hours_short,{{h}}h,{{h}}గం,translated,
home.beacon.hours_minutes_short,{{h}}h {{m}}m,{{h}}గం {{m}}నిమి,translated,
home.beacon.sheet.eyebrow,AVAILABILITY BEACON,అందుబాటు బీకన్,translated,
home.beacon.sheet.title_new,Broadcast to nearby employers,సమీపంలోని యజమానులకు ప్రసారం చేయండి,translated,
home.beacon.sheet.title_existing,Update your beacon,మీ బీకన్‌ను నవీకరించండి,translated,
home.beacon.sheet.body,"Employers within ~10 km will see you in their ""workers available now"" list with one-tap call.","~10 కి.మీ లోపలి యజమానులు తమ ""ఇప్పుడు అందుబాటులో ఉన్న కార్మికులు"" జాబితాలో ఒక-ట్యాప్ కాల్‌తో మిమ్మల్ని చూస్తారు.",translated,
home.beacon.sheet.duration_title,HOW LONG?,ఎంతసేపు?,translated,
home.beacon.sheet.duration_1h_sub,1 hour,1 గంట,translated,
home.beacon.sheet.duration_2h_sub,2 hours,2 గంటలు,translated,
home.beacon.sheet.duration_4h_sub,Half day,అర్ధ రోజు,translated,
home.beacon.sheet.duration_8h_sub,Full day,పూర్తి రోజు,translated,
home.beacon.sheet.what_work_title,WHAT WORK?,ఏ పని?,translated,
home.beacon.sheet.selected_count,{{count}} selected,{{count}} ఎంచుకోబడింది,translated,
home.beacon.sheet.note_title,NOTE FOR EMPLOYERS · OPTIONAL,యజమానులకు గమనిక · ఐచ్ఛికం,translated,
home.beacon.sheet.note_placeholder,e.g. Have my own bike · can lift heavy,ఉదా. నాకు సొంత బైక్ ఉంది · బరువు ఎత్తగలను,translated,
home.beacon.sheet.schedule_title,WEEKLY SCHEDULE · OPTIONAL,వారాంతపు షెడ్యూల్ · ఐచ్ఛికం,translated,
home.beacon.sheet.repeat_weekly_title,Repeat every week,ప్రతి వారం పునరావృతం చేయండి,translated,
home.beacon.sheet.repeat_weekly_hint,Stay live on the same days + window without raising the beacon every day.,ప్రతిరోజూ బీకన్‌ను లేవనెత్తకుండా అదే రోజులు + విండోలో లైవ్‌లో ఉండండి.,translated,
home.beacon.sheet.from,FROM,నుండి,translated,
home.beacon.sheet.to,TO,వరకు,translated,
home.beacon.sheet.format_hint,Format HH:MM (24h). The beacon goes live automatically inside this window on the picked days.,ఫార్మాట్ HH:MM (24h). ఎంచుకున్న రోజులలో ఈ విండోలో బీకన్ స్వయంచాలకంగా లైవ్‌లోకి వస్తుంది.,translated,
home.beacon.sheet.broadcast_now,Broadcast now,ఇప్పుడే ప్రసారం చేయండి,translated,
home.beacon.sheet.update_beacon,Update beacon,బీకన్‌ను నవీకరించండి,translated,
home.beacon.sheet.broadcasting,Broadcasting…,ప్రసారం అవుతోంది…,translated,
home.beacon.sheet.couldnt_publish_title,Couldn't publish,ప్రచురించలేకపోయాము,translated,
home.beacon.sheet.location_needed_error,We need your location to broadcast. Try again in a moment.,ప్రసారం చేయడానికి మీ స్థానం అవసరం. క్షణంలో మళ్లీ ప్రయత్నించండి.,translated,
home.beacon.sheet.broadcast_a11y,Broadcast availability,అందుబాటును ప్రసారం చేయండి,translated,
home.beacon.sheet.duration_a11y_selected,"{{sub}}, selected","{{sub}}, ఎంచుకోబడింది",translated,
home.beacon.sheet.duration_a11y,{{sub}},{{sub}},translated,
home.beacon.sheet.trade_a11y_selected,"{{label}}, selected","{{label}}, ఎంచుకోబడింది",translated,
home.beacon.sheet.trade_a11y,{{label}},{{label}},translated,
home.beacon.sheet.day_a11y_selected,"Day {{n}}, selected","రోజు {{n}}, ఎంచుకోబడింది",translated,
home.beacon.sheet.day_a11y,Day {{n}},రోజు {{n}},translated,
home.beacon.sheet.hint_need_trade,Pick at least one type of work to broadcast.,ప్రసారం చేయడానికి కనీసం ఒక పనిని ఎంచుకోండి.,translated,
home.beacon.sheet.hint_need_day,Pick at least one day for the weekly schedule.,వారాంతపు షెడ్యూల్ కోసం కనీసం ఒక రోజును ఎంచుకోండి.,translated,
home.beacon.sheet.hint_need_wage,"Enter a wage amount, or turn off ""Name your wage"".",,MISSING — needs translation,
home.beacon.sheet.time_error,"Enter a valid window — HH:MM (24h), end after start.","సరైన సమయం నమోదు చేయండి — HH:MM (24h), ముగింపు ప్రారంభం తర్వాత.",translated,
home.beacon.sheet.summary_ready,Ready — nearby employers will see you the moment you broadcast.,సిద్ధం — ప్రసారం చేసిన వెంటనే సమీప యజమానులు మిమ్మల్ని చూస్తారు.,translated,
home.beacon.sheet.wage_title,OPEN SHIFT,,MISSING — needs translation,
home.beacon.sheet.wage_toggle_title,Name your wage,,MISSING — needs translation,
home.beacon.sheet.wage_toggle_hint,Turns this into a full open shift — nearby employers get notified.,,MISSING — needs translation,
home.beacon.sheet.wage_amount_label,Amount (₹),,MISSING — needs translation,
home.beacon.sheet.wage_period_label,Per,,MISSING — needs translation,
home.beacon.sheet.wage_period_hour,Hour,,MISSING — needs translation,
home.beacon.sheet.wage_period_day,Day,,MISSING — needs translation,
home.beacon.sheet.wage_period_week,Week,,MISSING — needs translation,
home.wage.eyebrow,LOCAL WAGE · LAST 30 DAYS,స్థానిక వేతనం · గత 30 రోజులు,translated,
home.wage.headline,{{trade}}s in {{city}} earn {{range}} per day,{{city}}లోని {{trade}} రోజుకు {{range}} సంపాదిస్తారు,translated,
home.wage.basis,Based on {{count}} live posts. Tap to see them →,{{count}} లైవ్ పోస్టుల ఆధారంగా. చూడటానికి ట్యాప్ చేయండి →,translated,
home.recommended.title,✨ Recommended for you,✨ మీ కోసం సిఫార్సు,translated,
home.recommended.subtitle,Based on your resume,మీ రెజ్యూమె ఆధారంగా,translated,
home.recommended.fallback_employer,Employer,యజమాని,translated,
home.recommended.urgent_pill,Urgent,అత్యవసరం,translated,
home.recommended.women_safe_pill,Women-safe,మహిళలకు సురక్షితం,translated,
profile.menu.applications,My Applications,నా దరఖాస్తులు,translated,
profile.menu.applications_count_one,{{count}} application,{{count}} దరఖాస్తు,translated,
profile.menu.applications_count_other,{{count}} applications,{{count}} దరఖాస్తులు,translated,
profile.menu.applications_empty,No applications yet,ఇంకా దరఖాస్తులు లేవు,translated,
profile.menu.my_jobs,My Jobs,నా ఉద్యోగాలు,translated,
profile.menu.saved_count,{{count}} saved,{{count}} సేవ్ చేయబడ్డాయి,translated,
profile.menu.saved_empty,No saved jobs yet,ఇంకా సేవ్ చేసిన ఉద్యోగాలు లేవు,translated,
profile.menu.earnings,My Earnings,నా సంపాదనలు,translated,
profile.menu.earnings_subtitle,Available with wallet,వాలెట్‌లో అందుబాటులో ఉంది,translated,
profile.menu.ratings,Ratings & Reviews,రేటింగ్‌లు,translated,
profile.menu.ratings_count,{{avg}} from {{count}} ratings,{{count}} రేటింగ్‌ల నుండి {{avg}},translated,
profile.menu.ratings_empty,No ratings yet,ఇంకా రేటింగ్‌లు లేవు,translated,
profile.menu.job_alerts,Job Alerts,ఉద్యోగ హెచ్చరికలు,translated,
profile.menu.job_alerts_subtitle,Get notified when matching jobs are posted,సరిపోలే ఉద్యోగాలు పోస్ట్ చేసినప్పుడు నోటిఫికేషన్ పొందండి,translated,
profile.menu.training,Training & courses,శిక్షణ & కోర్సులు,translated,
profile.menu.training_subtitle,Earn badges that show on your resume,మీ రెజ్యూమెలో కనిపించే బ్యాడ్జ్‌లను సంపాదించండి,translated,
profile.menu.skill_tests,Skill tests,నైపుణ్య పరీక్షలు,translated,
profile.menu.skill_tests_subtitle,"Prove your trade — 5 questions, 4 to pass","మీ ట్రేడ్‌ను నిరూపించండి — 5 ప్రశ్నలు, 4 సరిగా",translated,
profile.menu.referrals,Referral credit,రెఫరల్ క్రెడిట్,translated,
profile.menu.referrals_empty,Share jobs · earn ₹100 per hire,ఉద్యోగాలను పంచుకోండి · ప్రతి నియామకానికి ₹100,translated,
profile.menu.downloads,Download Center,డౌన్‌లోడ్ కేంద్రం,translated,
profile.menu.downloads_subtitle,Saved posts and offline content,సేవ్ చేసిన పోస్ట్‌లు మరియు ఆఫ్‌లైన్ కంటెంట్,translated,
profile.menu.settings,Settings,సెట్టింగ్‌లు,translated,
profile.menu.settings_subtitle,"Language, notifications, theme","భాష, నోటిఫికేషన్‌లు, థీమ్",translated,
profile.menu.my_job_subtitle,"Attendance, shifts and payslips","హాజరు, షిఫ్ట్‌లు మరియు పే స్లిప్‌లు",translated,
profile.menu.edit_profile,Edit Profile Details,ప్రొఫైల్‌ను సవరించండి,translated,
profile.menu.edit_profile_subtitle,"Name, bio, experience, availability","పేరు, బయో, అనుభవం, అందుబాటు",translated,
profile.sections.activity,ACTIVITY,కార్యకలాపం,translated,
profile.sections.account,ACCOUNT,ఖాతా,translated,
profile.sections.resume,RESUME,రెజ్యూమె,translated,
profile.sections.skills,SKILLS,నైపుణ్యాలు,translated,
profile.sections.expected_salary,EXPECTED SALARY,ఆశించిన జీతం,translated,
profile.sections.skills_gap,SKILLS GAP NEAR YOU,మీ ప్రాంతంలో నైపుణ్య అంతరం,translated,
settings.title,Settings,సెట్టింగ్‌లు,translated,
settings.language,Language,భాష,translated,
settings.language_hint,Saved on this device. Changes apply immediately.,ఈ పరికరంలో సేవ్ చేయబడింది. వెంటనే వర్తిస్తుంది.,translated,
settings.notifications,Notifications,నోటిఫికేషన్‌లు,translated,
settings.push_notifications,Push notifications,పుష్ నోటిఫికేషన్‌లు,translated,
settings.push_notifications_hint,"Applications, messages, ratings","దరఖాస్తులు, సందేశాలు, రేటింగ్‌లు",translated,
settings.appearance,Appearance,ప్రదర్శన,translated,
settings.appearance_light,Light,లైట్,translated,
settings.appearance_dark,Dark,డార్క్,translated,
settings.appearance_system,Use system setting,సిస్టమ్ సెట్టింగ్‌ను ఉపయోగించండి,translated,
settings.appearance_hint,The seeker side keeps its blue palette regardless — this affects employer screens and shared modals.,సీకర్ వైపు నీలి రంగు అలాగే ఉంటుంది — ఇది యజమాని స్క్రీన్‌లపై ప్రభావం చూపుతుంది.,translated,
settings.safety,Safety,భద్రత,translated,
settings.sos_label,Safety SOS,భద్రతా SOS,translated,
settings.sos_value,Set up emergency contact,అత్యవసర సంప్రదింపును ఏర్పాటు చేయండి,translated,
settings.sos_hint,One-tap help to a trusted contact if you ever feel unsafe at work.,పనిలో అసురక్షితంగా అనిపిస్తే ఒక ట్యాప్‌తో నమ్మకమైన వ్యక్తికి సహాయం పొందండి.,translated,
settings.account,Account,ఖాతా,translated,
settings.email,Email,ఇమెయిల్,translated,
settings.email_change_title,Change email,ఇమెయిల్‌ని మార్చండి,translated,
settings.email_change_body,Email changes require verification — coming soon.,ఇమెయిల్ మార్పుకు ధృవీకరణ అవసరం — త్వరలో వస్తుంది.,translated,
settings.sign_out,Sign out,సైన్ ఔట్,translated,
settings.sign_out_confirm_title,Sign out?,సైన్ ఔట్ చేయాలా?,translated,
settings.sign_out_confirm_body,You'll need to sign in again to use Doondo.,Doondo ఉపయోగించడానికి మళ్లీ సైన్ ఇన్ చేయాలి.,translated,
settings.delete_account,Delete account,ఖాతాను తొలగించండి,translated,
settings.delete_confirm_title,Delete your account?,మీ ఖాతాను తొలగించాలా?,translated,
settings.delete_confirm_body,"This is permanent — all your applications, ratings, and chats will be erased. We're still building the in-app delete; email support@doondo.app to delete your account today.","ఇది శాశ్వతం — మీ అన్ని దరఖాస్తులు, రేటింగ్‌లు మరియు చాట్‌లు తొలగించబడతాయి. ప్రస్తుతానికి support@doondo.app కి ఇమెయిల్ పంపండి.",translated,
settings.email_support,Email support,సపోర్ట్‌కి ఇమెయిల్,translated,
settings.email_support_body,Send a delete request to support@doondo.app from the address on your account.,మీ ఖాతా ఇమెయిల్ నుండి support@doondo.app కి తొలగింపు అభ్యర్థన పంపండి.,translated,
signup.header,Create account,ఖాతా సృష్టించండి,translated,
signup.title,Join Doondo,Doondoలో చేరండి,translated,
signup.name,Name,పేరు,translated,
signup.name_for_worker,Worker's name,,MISSING — needs translation,
signup.email,Email,ఇమెయిల్,translated,
signup.password,Password,పాస్‌వర్డ్,translated,
signup.phone,Phone,ఫోన్,translated,
signup.phone_for_worker,Worker's phone,,MISSING — needs translation,
signup.phone_helper,Used to reset your password if you forget it.,,MISSING — needs translation,
signup.phone_for_worker_helper,The worker's number — employers will call here.,,MISSING — needs translation,
signup.assisted_toggle_label,Setting this up for someone else?,,MISSING — needs translation,
signup.assisted_toggle_hint,Common for family members helping a worker who can't use the app alone.,,MISSING — needs translation,
signup.submit,Create account,ఖాతా సృష్టించండి,translated,
signup.submitting,Creating account…,,MISSING — needs translation,
jobs.greeting.still_up,STILL UP,ఇంకా మేల్కొని ఉన్నారు,translated,
jobs.greeting.good_morning,GOOD MORNING,శుభోదయం,translated,
jobs.greeting.good_afternoon,GOOD AFTERNOON,శుభ మధ్యాహ్నం,translated,
jobs.greeting.good_evening,GOOD EVENING,శుభ సాయంత్రం,translated,
jobs.greeting.good_night,GOOD NIGHT,శుభ రాత్రి,translated,
jobs.greeting.hello_named,"Hello, {{name}} ","నమస్కారం, {{name}} ",translated,
jobs.greeting.hello_there,Hello there ,నమస్కారం ,translated,
jobs.subtitle.find_gig,Find your next gig nearby.,మీ సమీపంలో మీ తదుపరి పనిని కనుగొనండి.,translated,
jobs.subtitle.within_km_of_you,Within {{km}} km of you,మీకు {{km}} కి.మీ లోపు,translated,
jobs.subtitle.within_km_of_your_area,Within {{km}} km of your area,మీ ప్రాంతం యొక్క {{km}} కి.మీ లోపు,translated,
jobs.subtitle.demo_location,Demo location — turn on GPS to see your area,డెమో ప్రాంతం — మీ ప్రాంతం చూడటానికి GPS ఆన్ చేయండి,translated,
jobs.subtitle.within_km_of_place,Within {{km}} km of {{place}},{{place}} నుండి {{km}} కిమీ లోపల,translated,
jobs.job_count_one,{{count}} job,{{count}} ఉద్యోగం,translated,
jobs.job_count_other,{{count}} jobs,{{count}} ఉద్యోగాలు,translated,
jobs.view.list,List,జాబితా,translated,
jobs.view.map,Map,మ్యాప్,translated,
jobs.search.placeholder,"Search by skill, title, company","నైపుణ్యం, శీర్షిక లేదా కంపెనీ ద్వారా శోధించండి",translated,
jobs.sections.distance,DISTANCE,దూరం,translated,
jobs.sections.recommended_for_you,Recommended for you,మీ కోసం సిఫార్సు,translated,
jobs.sections.see_all_arrow,See all →,అన్నీ చూడండి →,translated,
jobs.filters.all,All,అన్నీ,translated,
jobs.filters.women_safe_only,Women-safe only,మహిళలకు సురక్షితమైనవి మాత్రమే,translated,
jobs.km_chip,{{km}} km,{{km}} కి.మీ,translated,
jobs.empty.eyebrow,QUIET HERE,ఇక్కడ నిశ్శబ్దం,translated,
jobs.empty.title,No jobs in this radius yet,ఈ పరిధిలో ఇంకా ఉద్యోగాలు లేవు,translated,
jobs.empty.message,Try widening the area or check back in a bit — new posts land throughout the day.,పరిధిని విస్తరించి ప్రయత్నించండి లేదా కొంత సమయం తర్వాత తనిఖీ చేయండి — రోజంతా కొత్త పోస్ట్‌లు వస్తాయి.,translated,
jobs.apply_alert.title,Applied,దరఖాస్తు చేయబడింది,translated,
jobs.apply_alert.couldnt_apply_title,Couldn't apply,దరఖాస్తు చేయలేకపోయాము,translated,
jobs.apply_alert.please_try_again,Please try again.,దయచేసి మళ్లీ ప్రయత్నించండి.,translated,
jobs.mass_apply.applied_one,{{count}} application sent.,{{count}} దరఖాస్తు పంపబడింది.,translated,
jobs.mass_apply.applied_other,{{count}} applications sent.,{{count}} దరఖాస్తులు పంపబడ్డాయి.,translated,
jobs.mass_apply.already_one,{{count}} you'd already applied to.,{{count}} కి మీరు ఇప్పటికే దరఖాస్తు చేశారు.,translated,
jobs.mass_apply.already_other,{{count}} you'd already applied to.,{{count}} కు మీరు ఇప్పటికే దరఖాస్తు చేశారు.,translated,
jobs.mass_apply.closed_one,{{count}} closed before we could send.,పంపే ముందు {{count}} మూసివేయబడింది.,translated,
jobs.mass_apply.closed_other,{{count}} closed before we could send.,పంపే ముందు {{count}} మూసివేయబడ్డాయి.,translated,
jobs.mass_apply.missing_one,{{count}} no longer available.,{{count}} ఇకపై అందుబాటులో లేదు.,translated,
jobs.mass_apply.missing_other,{{count}} no longer available.,{{count}} ఇకపై అందుబాటులో లేవు.,translated,
jobs.mass_apply.failed_one,{{count}} couldn't be sent — please try again.,{{count}} పంపలేకపోయాము — దయచేసి మళ్లీ ప్రయత్నించండి.,translated,
jobs.mass_apply.failed_other,{{count}} couldn't be sent — please try again.,{{count}} పంపలేకపోయాము — దయచేసి మళ్లీ ప్రయత్నించండి.,translated,
jobs.mass_apply.none_sent,No applications sent.,ఎటువంటి దరఖాస్తులు పంపబడలేదు.,translated,
jobs.card.urgent,Urgent,అత్యవసరం,translated,
jobs.card.women_safe,Women-safe,మహిళలకు సురక్షితం,translated,
jobs.card.verified,Verified,ధృవీకరించబడింది,translated,
jobs.card.default_employer,Doondo Employer,Doondo యజమాని,translated,
jobs.card.time.just_now,just now,ఇప్పుడే,translated,
jobs.card.time.minutes_ago,{{m}}m ago,{{m}} నిమి క్రితం,translated,
jobs.card.time.hours_ago,{{h}}h ago,{{h}} గం క్రితం,translated,
jobs.card.time.days_ago,{{d}}d ago,{{d}} రోజుల క్రితం,translated,
jobs.selection.cancel,Cancel,రద్దు,translated,
jobs.selection.count_selected,{{count}} selected,{{count}} ఎంచుకోబడింది,translated,
jobs.selection.long_press_hint,Long-press to add or remove,జోడించడానికి లేదా తీసివేయడానికి ఎక్కువసేపు నొక్కండి,translated,
