key,english_source,current_kannada_translation,status,reviewer_notes
earnings_hub.promo_body,Explore insurances and financial tools made for you.,ನಿಮಗಾಗಿ ರೂಪಿಸಲಾದ ವಿಮೆ ಮತ್ತು ಹಣಕಾಸು ಸಾಧನಗಳನ್ನು ಅನ್ವೇಷಿಸಿ.,translated,
earnings_hub.promo_cta,Explore now,ಈಗ ಅನ್ವೇಷಿಸಿ,translated,
earnings_hub.collect,Collect (QR),,MISSING — needs translation,
earnings_hub.collect_hint,Get paid by QR → wallet,,MISSING — needs translation,
earnings_hub.collect_top,Bank + QR,,MISSING — needs translation,
earnings_hub.collect_caption,Withdraw anytime,,MISSING — needs translation,
profile_groups.grow,Grow your career,ನಿಮ್ಮ ವೃತ್ತಿಯನ್ನು ಬೆಳೆಸಿಕೊಳ್ಳಿ,translated,
profile_groups.rights,Your rights & safety,ನಿಮ್ಮ ಹಕ್ಕುಗಳು ಮತ್ತು ಸುರಕ್ಷತೆ,translated,
profile_groups.account,Resume & account,ರೆಸ್ಯೂಮ್ ಮತ್ತು ಖಾತೆ,translated,
profile_groups.connect,Find work buddies,ಕೆಲಸದ ಸಂಗಾತಿಗಳನ್ನು ಹುಡುಕಿ,translated,
home.title,Doondo,Doondo,translated,
home.modes.today,Today,ಇಂದು,translated,
home.modes.this_week,This week,ಈ ವಾರ,translated,
home.modes.career,Career,ಕರಿಯರ್,translated,
home.voice_card.title,Find jobs through voice,ಧ್ವನಿಯ ಮೂಲಕ ಕೆಲಸ ಹುಡುಕಿ,translated,
home.voice_card.hint,Tell us what work you want,ನಿಮಗೆ ಯಾವ ಕೆಲಸ ಬೇಕು ಎಂದು ಹೇಳಿ,translated,
home.categories_section_label,Job categories,ಕೆಲಸದ ವಿಭಾಗಗಳು,translated,
home.nearby_jobs,Nearby jobs,ಹತ್ತಿರದ ಕೆಲಸಗಳು,translated,
home.view_all,View all,ಎಲ್ಲವನ್ನೂ ನೋಡಿ,translated,
home.see_more,See more,ಇನ್ನಷ್ಟು,translated,
home.categories.delivery,Delivery,ಡೆಲಿವರಿ,translated,
home.categories.driver,Driver,ಚಾಲಕ,translated,
home.categories.electrician,Electrician,ಎಲೆಕ್ಟ್ರಿಷಿಯನ್,translated,
home.categories.helper,Helper,ಸಹಾಯಕ,translated,
home.categories.mason,Mason,ಮೇಸ್ತ್ರಿ,translated,
home.location.your_area,Your area,ನಿಮ್ಮ ಪ್ರದೇಶ,translated,
home.location.locating,Locating…,ಸ್ಥಳ ಗುರುತಿಸಲಾಗುತ್ತಿದೆ…,translated,
home.location.finding_jobs,Finding nearby jobs…,ಹತ್ತಿರದ ಕೆಲಸಗಳನ್ನು ಹುಡುಕಲಾಗುತ್ತಿದೆ…,translated,
home.location.nearby_count_one,{{count}} nearby job,{{count}} ಹತ್ತಿರದ ಕೆಲಸ,translated,
home.location.nearby_count_other,{{count}} nearby jobs,{{count}} ಹತ್ತಿರದ ಕೆಲಸಗಳು,translated,
home.jobs.empty_no_jobs_nearby,No jobs near you right now. Pull to refresh.,ಸದ್ಯ ನಿಮ್ಮ ಹತ್ತಿರ ಕೆಲಸಗಳಿಲ್ಲ. ರಿಫ್ರೆಶ್‌ಗಾಗಿ ಎಳೆಯಿರಿ.,translated,
home.jobs.default_employer,Doondo Employer,Doondo ಉದ್ಯೋಗದಾತ,translated,
home.jobs.apply_now,Apply Now,ಈಗ ಅರ್ಜಿ ಸಲ್ಲಿಸಿ,translated,
home.hero.eyebrow,OPPORTUNITIES DAILY,ಪ್ರತಿದಿನ ಅವಕಾಶಗಳು,translated,
home.hero.headline,Find the right jobs near you,ನಿಮಗೆ ಸರಿಯಾದ ಕೆಲಸಗಳನ್ನು ಹುಡುಕಿ,translated,
home.hero.cta,Explore Jobs,ಕೆಲಸಗಳನ್ನು ನೋಡಿ,translated,
home.hero.cta_a11y,Explore jobs,ಕೆಲಸಗಳನ್ನು ನೋಡಿ,translated,
home.feed.empty_today_title,No same-day jobs nearby,ಇಂದು ಹತ್ತಿರದಲ್ಲಿ ಯಾವುದೇ ಕೆಲಸವಿಲ್ಲ,translated,
home.feed.empty_today_hint,"Pull to refresh, or switch to Career for longer-term roles.","ರಿಫ್ರೆಶ್ ಮಾಡಲು ಎಳೆಯಿರಿ, ಅಥವಾ ದೀರ್ಘಾವಧಿ ಕೆಲಸಗಳಿಗಾಗಿ ಕರಿಯರ್‌ಗೆ ಬದಲಾಯಿಸಿ.",translated,
home.feed.empty_this_week_title,No short contracts posted this week,ಈ ವಾರ ಯಾವುದೇ ಸಣ್ಣ ಒಪ್ಪಂದಗಳಿಲ್ಲ,translated,
home.feed.empty_this_week_hint,Try a wider trade filter or check back tomorrow.,ವಿಶಾಲವಾದ ಫಿಲ್ಟರ್ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಾಳೆ ಮತ್ತೆ ಪರಿಶೀಲಿಸಿ.,translated,
home.feed.browse_by_trade,Browse by trade,ವೃತ್ತಿಯ ಪ್ರಕಾರ ಬ್ರೌಸ್ ಮಾಡಿ,translated,
home.feed.view_all_arrow,View all →,ಎಲ್ಲವನ್ನೂ ನೋಡಿ →,translated,
home.feed.clear_filters_one,Clear {{count}} filter,{{count}} ಫಿಲ್ಟರ್ ತೆಗೆದುಹಾಕಿ,translated,
home.feed.clear_filters_other,Clear {{count}} filters,{{count}} ಫಿಲ್ಟರ್‌ಗಳನ್ನು ತೆಗೆದುಹಾಕಿ,translated,
home.feed.locating,Locating…,ಸ್ಥಳ ಗುರುತಿಸಲಾಗುತ್ತಿದೆ…,translated,
home.job_card.urgent,URGENT,ತುರ್ತು,translated,
home.job_card.distance_away,{{distance}} away,{{distance}} ದೂರ,translated,
home.job_card.start_today,Start Today,ಇಂದೇ ಆರಂಭ,translated,
home.job_card.immediate,Immediate,ತಕ್ಷಣ,translated,
home.job_card.flexible,Flexible,ಹೊಂದಿಕೊಳ್ಳುವ,translated,
home.job_card.schedule,Schedule,ವೇಳಾಪಟ್ಟಿ,translated,
home.job_card.tap_to_call_apply,Tap to call / apply,ಕರೆ / ಅರ್ಜಿಗೆ ಟ್ಯಾಪ್ ಮಾಡಿ,translated,
home.job_card.view_details,View details,ವಿವರಗಳನ್ನು ನೋಡಿ,translated,
home.job_card.tap_to_call_apply_a11y,Tap to call or apply,ಕರೆ ಮಾಡಲು ಅಥವಾ ಅರ್ಜಿ ಸಲ್ಲಿಸಲು ಟ್ಯಾಪ್ ಮಾಡಿ,translated,
home.job_card.view_job_a11y,View job,ಕೆಲಸವನ್ನು ನೋಡಿ,translated,
home.job_card.job_a11y_label,"{{title}}, {{pay}}","{{title}}, {{pay}}",translated,
home.job_card.driving_license_required,Driving License: Required,ಡ್ರೈವಿಂಗ್ ಲೈಸೆನ್ಸ್: ಅಗತ್ಯ,translated,
home.job_card.skill_required_suffix,{{skill}}: Required,{{skill}}: ಅಗತ್ಯ,translated,
home.beacon.chip_inactive_title,Tell employers I'm available now,ನಾನು ಈಗ ಲಭ್ಯವಿದ್ದೇನೆ ಎಂದು ಉದ್ಯೋಗದಾತರಿಗೆ ಹೇಳಿ,translated,
home.beacon.chip_inactive_hint,Nearby employers will see you in their list,ಹತ್ತಿರದ ಉದ್ಯೋಗದಾತರು ನಿಮ್ಮನ್ನು ಅವರ ಪಟ್ಟಿಯಲ್ಲಿ ನೋಡುತ್ತಾರೆ,translated,
home.beacon.chip_active_title,Available — {{left}} left,ಲಭ್ಯ — {{left}} ಬಾಕಿ,translated,
home.beacon.chip_active_hint,Until {{time}} · tap to edit,{{time}} ತನಕ · ಸಂಪಾದಿಸಲು ಟ್ಯಾಪ್ ಮಾಡಿ,translated,
home.beacon.chip_a11y_active,Edit availability beacon,ಲಭ್ಯತೆಯ ಬೀಕನ್ ಸಂಪಾದಿಸಿ,translated,
home.beacon.chip_a11y_inactive,Tell employers you are available,ನೀವು ಲಭ್ಯವಿರುವುದಾಗಿ ಉದ್ಯೋಗದಾತರಿಗೆ ಹೇಳಿ,translated,
home.beacon.stop,Stop,ನಿಲ್ಲಿಸಿ,translated,
home.beacon.stop_confirm_title,Stop broadcasting?,ಪ್ರಸಾರ ನಿಲ್ಲಿಸಬೇಕೇ?,translated,
home.beacon.stop_confirm_body,Employers near you will no longer see you as available.,ನಿಮ್ಮ ಹತ್ತಿರದ ಉದ್ಯೋಗದಾತರು ಇನ್ನು ಮುಂದೆ ನಿಮ್ಮನ್ನು ಲಭ್ಯವೆಂದು ನೋಡುವುದಿಲ್ಲ.,translated,
home.beacon.couldnt_withdraw_title,Couldn't withdraw,ಹಿಂಪಡೆಯಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ,translated,
home.beacon.couldnt_withdraw_body,Try again.,ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ.,translated,
home.beacon.expiring,expiring,ಮುಗಿಯುತ್ತಿದೆ,translated,
home.beacon.minutes_short,{{n}} min,{{n}} ನಿಮಿಷ,translated,
home.beacon.hours_short,{{h}}h,{{h}}ಗಂ,translated,
home.beacon.hours_minutes_short,{{h}}h {{m}}m,{{h}}ಗಂ {{m}}ನಿ,translated,
home.beacon.sheet.eyebrow,AVAILABILITY BEACON,ಲಭ್ಯತಾ ಬೀಕನ್,translated,
home.beacon.sheet.title_new,Broadcast to nearby employers,ಹತ್ತಿರದ ಉದ್ಯೋಗದಾತರಿಗೆ ಪ್ರಸಾರ ಮಾಡಿ,translated,
home.beacon.sheet.title_existing,Update your beacon,ನಿಮ್ಮ ಬೀಕನ್ ನವೀಕರಿಸಿ,translated,
home.beacon.sheet.body,"Employers within ~10 km will see you in their ""workers available now"" list with one-tap call.","~10 ಕಿಮೀ ಒಳಗಿನ ಉದ್ಯೋಗದಾತರು ತಮ್ಮ ""ಈಗ ಲಭ್ಯವಿರುವ ಕಾರ್ಮಿಕರು"" ಪಟ್ಟಿಯಲ್ಲಿ ನಿಮ್ಮನ್ನು ಒಂದು ಟ್ಯಾಪ್ ಕರೆಯೊಂದಿಗೆ ನೋಡುತ್ತಾರೆ.",translated,
home.beacon.sheet.duration_title,HOW LONG?,ಎಷ್ಟು ಸಮಯ?,translated,
home.beacon.sheet.duration_1h_sub,1 hour,1 ಗಂಟೆ,translated,
home.beacon.sheet.duration_2h_sub,2 hours,2 ಗಂಟೆ,translated,
home.beacon.sheet.duration_4h_sub,Half day,ಅರ್ಧ ದಿನ,translated,
home.beacon.sheet.duration_8h_sub,Full day,ಪೂರ್ಣ ದಿನ,translated,
home.beacon.sheet.what_work_title,WHAT WORK?,ಯಾವ ಕೆಲಸ?,translated,
home.beacon.sheet.selected_count,{{count}} selected,{{count}} ಆಯ್ಕೆಯಾಗಿದೆ,translated,
home.beacon.sheet.note_title,NOTE FOR EMPLOYERS · OPTIONAL,ಉದ್ಯೋಗದಾತರಿಗೆ ಟಿಪ್ಪಣಿ · ಐಚ್ಛಿಕ,translated,
home.beacon.sheet.note_placeholder,e.g. Have my own bike · can lift heavy,ಉದಾ. ಸ್ವಂತ ಬೈಕ್ ಇದೆ · ಭಾರ ಎತ್ತಬಲ್ಲೆ,translated,
home.beacon.sheet.schedule_title,WEEKLY SCHEDULE · OPTIONAL,ಸಾಪ್ತಾಹಿಕ ವೇಳಾಪಟ್ಟಿ · ಐಚ್ಛಿಕ,translated,
home.beacon.sheet.repeat_weekly_title,Repeat every week,ಪ್ರತಿ ವಾರ ಪುನರಾವರ್ತಿಸಿ,translated,
home.beacon.sheet.repeat_weekly_hint,Stay live on the same days + window without raising the beacon every day.,ಪ್ರತಿದಿನ ಬೀಕನ್ ಮೇಲೆತ್ತದೆ ಅದೇ ದಿನಗಳಲ್ಲಿ + ಸಮಯದಲ್ಲಿ ಲೈವ್ ಇರಿ.,translated,
home.beacon.sheet.from,FROM,ಇಂದ,translated,
home.beacon.sheet.to,TO,ವರೆಗೆ,translated,
home.beacon.sheet.format_hint,Format HH:MM (24h). The beacon goes live automatically inside this window on the picked days.,ಫಾರ್ಮ್ಯಾಟ್ HH:MM (24h). ಆಯ್ಕೆ ಮಾಡಿದ ದಿನಗಳಲ್ಲಿ ಈ ಅವಧಿಯೊಳಗೆ ಬೀಕನ್ ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಲೈವ್ ಆಗುತ್ತದೆ.,translated,
home.beacon.sheet.broadcast_now,Broadcast now,ಈಗ ಪ್ರಸಾರ ಮಾಡಿ,translated,
home.beacon.sheet.update_beacon,Update beacon,ಬೀಕನ್ ನವೀಕರಿಸಿ,translated,
home.beacon.sheet.broadcasting,Broadcasting…,ಪ್ರಸಾರ ಮಾಡಲಾಗುತ್ತಿದೆ…,translated,
home.beacon.sheet.couldnt_publish_title,Couldn't publish,ಪ್ರಕಟಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ,translated,
home.beacon.sheet.location_needed_error,We need your location to broadcast. Try again in a moment.,ಪ್ರಸಾರ ಮಾಡಲು ನಿಮ್ಮ ಸ್ಥಳ ಬೇಕು. ಕ್ಷಣದಲ್ಲಿ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ.,translated,
home.beacon.sheet.broadcast_a11y,Broadcast availability,ಲಭ್ಯತೆಯನ್ನು ಪ್ರಸಾರ ಮಾಡಿ,translated,
home.beacon.sheet.duration_a11y_selected,"{{sub}}, selected","{{sub}}, ಆಯ್ಕೆಯಾಗಿದೆ",translated,
home.beacon.sheet.duration_a11y,{{sub}},{{sub}},translated,
home.beacon.sheet.trade_a11y_selected,"{{label}}, selected","{{label}}, ಆಯ್ಕೆಯಾಗಿದೆ",translated,
home.beacon.sheet.trade_a11y,{{label}},{{label}},translated,
home.beacon.sheet.day_a11y_selected,"Day {{n}}, selected","ದಿನ {{n}}, ಆಯ್ಕೆಯಾಗಿದೆ",translated,
home.beacon.sheet.day_a11y,Day {{n}},ದಿನ {{n}},translated,
home.beacon.sheet.hint_need_trade,Pick at least one type of work to broadcast.,ಪ್ರಸಾರ ಮಾಡಲು ಕನಿಷ್ಠ ಒಂದು ಕೆಲಸವನ್ನು ಆಯ್ಕೆಮಾಡಿ.,translated,
home.beacon.sheet.hint_need_day,Pick at least one day for the weekly schedule.,ಸಾಪ್ತಾಹಿಕ ವೇಳಾಪಟ್ಟಿಗೆ ಕನಿಷ್ಠ ಒಂದು ದಿನವನ್ನು ಆಯ್ಕೆಮಾಡಿ.,translated,
home.beacon.sheet.hint_need_wage,"Enter a wage amount, or turn off ""Name your wage"".",,MISSING — needs translation,
home.beacon.sheet.time_error,"Enter a valid window — HH:MM (24h), end after start.","ಸರಿಯಾದ ಸಮಯ ನಮೂದಿಸಿ — HH:MM (24h), ಅಂತ್ಯ ಆರಂಭದ ನಂತರ.",translated,
home.beacon.sheet.summary_ready,Ready — nearby employers will see you the moment you broadcast.,ಸಿದ್ಧ — ಪ್ರಸಾರ ಮಾಡಿದ ತಕ್ಷಣ ಹತ್ತಿರದ ಉದ್ಯೋಗದಾತರು ನಿಮ್ಮನ್ನು ನೋಡುತ್ತಾರೆ.,translated,
home.beacon.sheet.wage_title,OPEN SHIFT,,MISSING — needs translation,
home.beacon.sheet.wage_toggle_title,Name your wage,,MISSING — needs translation,
home.beacon.sheet.wage_toggle_hint,Turns this into a full open shift — nearby employers get notified.,,MISSING — needs translation,
home.beacon.sheet.wage_amount_label,Amount (₹),,MISSING — needs translation,
home.beacon.sheet.wage_period_label,Per,,MISSING — needs translation,
home.beacon.sheet.wage_period_hour,Hour,,MISSING — needs translation,
home.beacon.sheet.wage_period_day,Day,,MISSING — needs translation,
home.beacon.sheet.wage_period_week,Week,,MISSING — needs translation,
home.wage.eyebrow,LOCAL WAGE · LAST 30 DAYS,ಸ್ಥಳೀಯ ವೇತನ · ಕಳೆದ 30 ದಿನ,translated,
home.wage.headline,{{trade}}s in {{city}} earn {{range}} per day,{{city}} ನ {{trade}} ಗಳು ಪ್ರತಿ ದಿನ {{range}} ಗಳಿಸುತ್ತಾರೆ,translated,
home.wage.basis,Based on {{count}} live posts. Tap to see them →,{{count}} ಲೈವ್ ಪೋಸ್ಟ್‌ಗಳ ಆಧಾರದಲ್ಲಿ. ನೋಡಲು ಟ್ಯಾಪ್ ಮಾಡಿ →,translated,
home.recommended.title,✨ Recommended for you,✨ ನಿಮಗಾಗಿ ಶಿಫಾರಸು,translated,
home.recommended.subtitle,Based on your resume,ನಿಮ್ಮ ರೆಸ್ಯೂಮ್ ಆಧಾರದಲ್ಲಿ,translated,
home.recommended.fallback_employer,Employer,ಉದ್ಯೋಗದಾತ,translated,
home.recommended.urgent_pill,Urgent,ತುರ್ತು,translated,
home.recommended.women_safe_pill,Women-safe,ಮಹಿಳಾ ಸುರಕ್ಷಿತ,translated,
profile.menu.applications,My Applications,ನನ್ನ ಅರ್ಜಿಗಳು,translated,
profile.menu.applications_count_one,{{count}} application,{{count}} ಅರ್ಜಿ,translated,
profile.menu.applications_count_other,{{count}} applications,{{count}} ಅರ್ಜಿಗಳು,translated,
profile.menu.applications_empty,No applications yet,ಇನ್ನೂ ಅರ್ಜಿಗಳಿಲ್ಲ,translated,
profile.menu.my_jobs,My Jobs,ನನ್ನ ಕೆಲಸಗಳು,translated,
profile.menu.saved_count,{{count}} saved,{{count}} ಉಳಿಸಲಾಗಿದೆ,translated,
profile.menu.saved_empty,No saved jobs yet,ಇನ್ನೂ ಉಳಿಸಿದ ಕೆಲಸಗಳಿಲ್ಲ,translated,
profile.menu.earnings,My Earnings,ನನ್ನ ಗಳಿಕೆ,translated,
profile.menu.earnings_subtitle,Available with wallet,ವಾಲೆಟ್‌ನಲ್ಲಿ ಲಭ್ಯ,translated,
profile.menu.ratings,Ratings & Reviews,ರೇಟಿಂಗ್ ಮತ್ತು ವಿಮರ್ಶೆಗಳು,translated,
profile.menu.ratings_count,{{avg}} from {{count}} ratings,{{count}} ರೇಟಿಂಗ್‌ಗಳಿಂದ {{avg}},translated,
profile.menu.ratings_empty,No ratings yet,ಇನ್ನೂ ರೇಟಿಂಗ್‌ಗಳಿಲ್ಲ,translated,
profile.menu.job_alerts,Job Alerts,ಕೆಲಸದ ಅಲರ್ಟ್‌ಗಳು,translated,
profile.menu.job_alerts_subtitle,Get notified when matching jobs are posted,ಹೊಂದಾಣಿಕೆಯ ಕೆಲಸಗಳು ಪೋಸ್ಟ್ ಆದಾಗ ಸೂಚನೆ ಪಡೆಯಿರಿ,translated,
profile.menu.training,Training & courses,ತರಬೇತಿ ಮತ್ತು ಕೋರ್ಸ್‌ಗಳು,translated,
profile.menu.training_subtitle,Earn badges that show on your resume,ನಿಮ್ಮ ರೆಸ್ಯೂಮ್‌ನಲ್ಲಿ ತೋರುವ ಬ್ಯಾಡ್ಜ್‌ಗಳನ್ನು ಗಳಿಸಿ,translated,
profile.menu.skill_tests,Skill tests,ಕೌಶಲ ಪರೀಕ್ಷೆಗಳು,translated,
profile.menu.skill_tests_subtitle,"Prove your trade — 5 questions, 4 to pass","ನಿಮ್ಮ ವೃತ್ತಿಯನ್ನು ಸಾಬೀತುಪಡಿಸಿ — 5 ಪ್ರಶ್ನೆಗಳು, 4 ಪಾಸಾಗಲು",translated,
profile.menu.referrals,Referral credit,ರೆಫರಲ್ ಕ್ರೆಡಿಟ್,translated,
profile.menu.referrals_empty,Share jobs · earn ₹100 per hire,ಕೆಲಸಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳಿ · ಪ್ರತಿ ನೇಮಕಾತಿಗೆ ₹100 ಗಳಿಸಿ,translated,
profile.menu.downloads,Download Center,ಡೌನ್‌ಲೋಡ್ ಕೇಂದ್ರ,translated,
profile.menu.downloads_subtitle,Saved posts and offline content,ಉಳಿಸಿದ ಪೋಸ್ಟ್‌ಗಳು ಮತ್ತು ಆಫ್‌ಲೈನ್ ವಿಷಯ,translated,
profile.menu.settings,Settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳು,translated,
profile.menu.settings_subtitle,"Language, notifications, theme","ಭಾಷೆ, ಸೂಚನೆಗಳು, ಥೀಮ್",translated,
profile.menu.my_job_subtitle,"Attendance, shifts and payslips","ಹಾಜರಿ, ಶಿಫ್ಟ್‌ಗಳು ಮತ್ತು ವೇತನ ಸ್ಲಿಪ್‌ಗಳು",translated,
profile.menu.edit_profile,Edit Profile Details,ಪ್ರೊಫೈಲ್ ಬದಲಾಯಿಸಿ,translated,
profile.menu.edit_profile_subtitle,"Name, bio, experience, availability","ಹೆಸರು, ಬಯೋ, ಅನುಭವ, ಲಭ್ಯತೆ",translated,
profile.sections.activity,ACTIVITY,ಚಟುವಟಿಕೆ,translated,
profile.sections.account,ACCOUNT,ಖಾತೆ,translated,
profile.sections.resume,RESUME,ರೆಸ್ಯೂಮ್,translated,
profile.sections.skills,SKILLS,ಕೌಶಲ್ಯಗಳು,translated,
profile.sections.expected_salary,EXPECTED SALARY,ನಿರೀಕ್ಷಿತ ಸಂಬಳ,translated,
profile.sections.skills_gap,SKILLS GAP NEAR YOU,ನಿಮ್ಮ ಸಮೀಪದ ಕೌಶಲ್ಯ ಅಂತರ,translated,
settings.title,Settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳು,translated,
settings.language,Language,ಭಾಷೆ,translated,
settings.language_hint,Saved on this device. Changes apply immediately.,ಈ ಡಿವೈಸ್‌ನಲ್ಲಿ ಉಳಿಸಲಾಗಿದೆ. ಕೂಡಲೇ ಅನ್ವಯವಾಗುತ್ತದೆ.,translated,
settings.notifications,Notifications,ಸೂಚನೆಗಳು,translated,
settings.push_notifications,Push notifications,ಪುಶ್ ಸೂಚನೆಗಳು,translated,
settings.push_notifications_hint,"Applications, messages, ratings","ಅರ್ಜಿಗಳು, ಸಂದೇಶಗಳು, ರೇಟಿಂಗ್‌ಗಳು",translated,
settings.appearance,Appearance,ರೂಪ,translated,
settings.appearance_light,Light,ಬೆಳಕು,translated,
settings.appearance_dark,Dark,ಗಾಢ,translated,
settings.appearance_system,Use system setting,ಸಿಸ್ಟಮ್ ಸೆಟ್ಟಿಂಗ್ ಬಳಸಿ,translated,
