key,english_source,current_tamil_translation,status,reviewer_notes
home.beacon.stop_confirm_body,Employers near you will no longer see you as available.,உங்கள் அருகிலுள்ள முதலாளிகள் இனி உங்களைக் கிடைப்பதாகப் பார்க்க மாட்டார்கள்.,translated,
home.beacon.couldnt_withdraw_title,Couldn't withdraw,திரும்பப் பெற முடியவில்லை,translated,
home.beacon.couldnt_withdraw_body,Try again.,மீண்டும் முயற்சிக்கவும்.,translated,
home.beacon.expiring,expiring,முடிகிறது,translated,
home.beacon.minutes_short,{{n}} min,{{n}} நிமி,translated,
home.beacon.hours_short,{{h}}h,{{h}}ம,translated,
home.beacon.hours_minutes_short,{{h}}h {{m}}m,{{h}}ம {{m}}நி,translated,
home.beacon.sheet.eyebrow,AVAILABILITY BEACON,கிடைப்புத்திறன் பீக்கன்,translated,
home.beacon.sheet.title_new,Broadcast to nearby employers,அருகிலுள்ள முதலாளிகளுக்கு ஒளிபரப்பு,translated,
home.beacon.sheet.title_existing,Update your beacon,உங்கள் பீக்கனைப் புதுப்பிக்கவும்,translated,
home.beacon.sheet.body,"Employers within ~10 km will see you in their ""workers available now"" list with one-tap call.","~10 கி.மீ-க்குள் உள்ள முதலாளிகள் தங்கள் ""இப்போது கிடைக்கும் தொழிலாளர்கள்"" பட்டியலில் உங்களை ஒரு-தட்டு அழைப்புடன் பார்ப்பார்கள்.",translated,
home.beacon.sheet.duration_title,HOW LONG?,எவ்வளவு நேரம்?,translated,
home.beacon.sheet.duration_1h_sub,1 hour,1 மணி,translated,
home.beacon.sheet.duration_2h_sub,2 hours,2 மணி,translated,
home.beacon.sheet.duration_4h_sub,Half day,அரை நாள்,translated,
home.beacon.sheet.duration_8h_sub,Full day,முழு நாள்,translated,
home.beacon.sheet.what_work_title,WHAT WORK?,என்ன வேலை?,translated,
home.beacon.sheet.selected_count,{{count}} selected,{{count}} தேர்ந்தெடுக்கப்பட்டது,translated,
home.beacon.sheet.note_title,NOTE FOR EMPLOYERS · OPTIONAL,முதலாளிகளுக்கான குறிப்பு · விருப்பம்,translated,
home.beacon.sheet.note_placeholder,e.g. Have my own bike · can lift heavy,எ.கா. சொந்த பைக் உள்ளது · எடை தூக்க முடியும்,translated,
home.beacon.sheet.schedule_title,WEEKLY SCHEDULE · OPTIONAL,வாராந்திர அட்டவணை · விருப்பம்,translated,
home.beacon.sheet.repeat_weekly_title,Repeat every week,ஒவ்வொரு வாரமும் மீண்டும்,translated,
home.beacon.sheet.repeat_weekly_hint,Stay live on the same days + window without raising the beacon every day.,ஒவ்வொரு நாளும் பீக்கனை எழுப்பாமல் அதே நாட்கள் + நேரத்தில் நேரலையில் இருங்கள்.,translated,
home.beacon.sheet.from,FROM,முதல்,translated,
home.beacon.sheet.to,TO,வரை,translated,
home.beacon.sheet.format_hint,Format HH:MM (24h). The beacon goes live automatically inside this window on the picked days.,வடிவம் HH:MM (24h). தேர்ந்தெடுத்த நாட்களில் இந்த நேரத்திற்குள் பீக்கன் தானாகவே நேரலையில் வரும்.,translated,
home.beacon.sheet.broadcast_now,Broadcast now,இப்போது ஒளிபரப்பு,translated,
home.beacon.sheet.update_beacon,Update beacon,பீக்கனைப் புதுப்பிக்கவும்,translated,
home.beacon.sheet.broadcasting,Broadcasting…,ஒளிபரப்பப்படுகிறது…,translated,
home.beacon.sheet.couldnt_publish_title,Couldn't publish,வெளியிட முடியவில்லை,translated,
home.beacon.sheet.location_needed_error,We need your location to broadcast. Try again in a moment.,ஒளிபரப்ப உங்கள் இருப்பிடம் தேவை. சிறிது நேரத்தில் மீண்டும் முயற்சிக்கவும்.,translated,
home.beacon.sheet.broadcast_a11y,Broadcast availability,கிடைப்புத்திறனை ஒளிபரப்பு,translated,
home.beacon.sheet.duration_a11y_selected,"{{sub}}, selected","{{sub}}, தேர்ந்தெடுக்கப்பட்டது",translated,
home.beacon.sheet.duration_a11y,{{sub}},{{sub}},translated,
home.beacon.sheet.trade_a11y_selected,"{{label}}, selected","{{label}}, தேர்ந்தெடுக்கப்பட்டது",translated,
home.beacon.sheet.trade_a11y,{{label}},{{label}},translated,
home.beacon.sheet.day_a11y_selected,"Day {{n}}, selected","நாள் {{n}}, தேர்ந்தெடுக்கப்பட்டது",translated,
home.beacon.sheet.day_a11y,Day {{n}},நாள் {{n}},translated,
home.beacon.sheet.hint_need_trade,Pick at least one type of work to broadcast.,ஒளிபரப்ப குறைந்தது ஒரு வேலையைத் தேர்ந்தெடுக்கவும்.,translated,
home.beacon.sheet.hint_need_day,Pick at least one day for the weekly schedule.,வாராந்திர அட்டவணைக்கு குறைந்தது ஒரு நாளைத் தேர்ந்தெடுக்கவும்.,translated,
home.beacon.sheet.hint_need_wage,"Enter a wage amount, or turn off ""Name your wage"".",,MISSING — needs translation,
home.beacon.sheet.time_error,"Enter a valid window — HH:MM (24h), end after start.","சரியான நேரத்தை உள்ளிடவும் — HH:MM (24h), முடிவு தொடக்கத்திற்குப் பின்.",translated,
home.beacon.sheet.summary_ready,Ready — nearby employers will see you the moment you broadcast.,தயார் — ஒளிபரப்பியவுடன் அருகிலுள்ள முதலாளிகள் உங்களைப் பார்ப்பார்கள்.,translated,
home.beacon.sheet.wage_title,OPEN SHIFT,,MISSING — needs translation,
home.beacon.sheet.wage_toggle_title,Name your wage,,MISSING — needs translation,
home.beacon.sheet.wage_toggle_hint,Turns this into a full open shift — nearby employers get notified.,,MISSING — needs translation,
home.beacon.sheet.wage_amount_label,Amount (₹),,MISSING — needs translation,
home.beacon.sheet.wage_period_label,Per,,MISSING — needs translation,
home.beacon.sheet.wage_period_hour,Hour,,MISSING — needs translation,
home.beacon.sheet.wage_period_day,Day,,MISSING — needs translation,
home.beacon.sheet.wage_period_week,Week,,MISSING — needs translation,
home.wage.eyebrow,LOCAL WAGE · LAST 30 DAYS,உள்ளூர் ஊதியம் · கடந்த 30 நாட்கள்,translated,
home.wage.headline,{{trade}}s in {{city}} earn {{range}} per day,{{city}}-இல் {{trade}} ஒரு நாளுக்கு {{range}} சம்பாதிக்கிறார்கள்,translated,
home.wage.basis,Based on {{count}} live posts. Tap to see them →,{{count}} நேரலை பதிவுகளின் அடிப்படையில். பார்க்க தட்டவும் →,translated,
home.recommended.title,✨ Recommended for you,✨ உங்களுக்கான பரிந்துரை,translated,
home.recommended.subtitle,Based on your resume,உங்கள் சுயவிவரத்தின் அடிப்படையில்,translated,
home.recommended.fallback_employer,Employer,முதலாளி,translated,
home.recommended.urgent_pill,Urgent,அவசரம்,translated,
home.recommended.women_safe_pill,Women-safe,பெண்களுக்குப் பாதுகாப்பானது,translated,
profile.menu.applications,My Applications,என் விண்ணப்பங்கள்,translated,
profile.menu.applications_count_one,{{count}} application,{{count}} விண்ணப்பம்,translated,
profile.menu.applications_count_other,{{count}} applications,{{count}} விண்ணப்பங்கள்,translated,
profile.menu.applications_empty,No applications yet,இன்னும் விண்ணப்பங்கள் இல்லை,translated,
profile.menu.my_jobs,My Jobs,என் வேலைகள்,translated,
profile.menu.saved_count,{{count}} saved,{{count}} சேமிக்கப்பட்டது,translated,
profile.menu.saved_empty,No saved jobs yet,இன்னும் சேமிக்கப்பட்ட வேலைகள் இல்லை,translated,
profile.menu.earnings,My Earnings,என் வருமானம்,translated,
profile.menu.earnings_subtitle,Available with wallet,வாலெட்டில் கிடைக்கும்,translated,
profile.menu.ratings,Ratings & Reviews,மதிப்பீடுகள்,translated,
profile.menu.ratings_count,{{avg}} from {{count}} ratings,{{count}} மதிப்பீடுகளிலிருந்து {{avg}},translated,
profile.menu.ratings_empty,No ratings yet,இன்னும் மதிப்பீடுகள் இல்லை,translated,
profile.menu.job_alerts,Job Alerts,வேலை அறிவிப்புகள்,translated,
profile.menu.job_alerts_subtitle,Get notified when matching jobs are posted,பொருந்தும் வேலைகள் பதிவாகும்போது அறிவிப்பு பெறுங்கள்,translated,
profile.menu.training,Training & courses,பயிற்சி மற்றும் படிப்புகள்,translated,
profile.menu.training_subtitle,Earn badges that show on your resume,உங்கள் சுயவிவரத்தில் காட்டும் பேட்ஜ்களைப் பெறுங்கள்,translated,
profile.menu.skill_tests,Skill tests,திறன் தேர்வுகள்,translated,
profile.menu.skill_tests_subtitle,"Prove your trade — 5 questions, 4 to pass","உங்கள் தொழிலை நிரூபிக்கவும் — 5 கேள்விகள், 4 சரியாக",translated,
profile.menu.referrals,Referral credit,பரிந்துரை வரவு,translated,
profile.menu.referrals_empty,Share jobs · earn ₹100 per hire,வேலைகளைப் பகிருங்கள் · ஒவ்வொரு பணியமர்த்தலுக்கும் ₹100,translated,
profile.menu.downloads,Download Center,பதிவிறக்க மையம்,translated,
profile.menu.downloads_subtitle,Saved posts and offline content,சேமித்த பதிவுகள் மற்றும் ஆஃப்லைன் உள்ளடக்கம்,translated,
profile.menu.settings,Settings,அமைப்புகள்,translated,
profile.menu.settings_subtitle,"Language, notifications, theme","மொழி, அறிவிப்புகள், தீம்",translated,
profile.menu.my_job_subtitle,"Attendance, shifts and payslips","வருகை, ஷிப்ட் மற்றும் சம்பள சீட்டுகள்",translated,
profile.menu.edit_profile,Edit Profile Details,சுயவிவரத்தைத் திருத்து,translated,
profile.menu.edit_profile_subtitle,"Name, bio, experience, availability","பெயர், சுயவிவரம், அனுபவம், கிடைப்புத்திறன்",translated,
profile.sections.activity,ACTIVITY,செயல்பாடு,translated,
profile.sections.account,ACCOUNT,கணக்கு,translated,
profile.sections.resume,RESUME,சுயவிவரம்,translated,
profile.sections.skills,SKILLS,திறன்கள்,translated,
profile.sections.expected_salary,EXPECTED SALARY,எதிர்பார்த்த சம்பளம்,translated,
profile.sections.skills_gap,SKILLS GAP NEAR YOU,உங்கள் பகுதியில் திறன் இடைவெளி,translated,
settings.title,Settings,அமைப்புகள்,translated,
settings.language,Language,மொழி,translated,
settings.language_hint,Saved on this device. Changes apply immediately.,இந்த சாதனத்தில் சேமிக்கப்பட்டது. உடனடியாக பயன்படுகிறது.,translated,
settings.notifications,Notifications,அறிவிப்புகள்,translated,
settings.push_notifications,Push notifications,புஷ் அறிவிப்புகள்,translated,
settings.push_notifications_hint,"Applications, messages, ratings","விண்ணப்பங்கள், செய்திகள், மதிப்பீடுகள்",translated,
settings.appearance,Appearance,தோற்றம்,translated,
settings.appearance_light,Light,வெளிச்சம்,translated,
settings.appearance_dark,Dark,இருள்,translated,
settings.appearance_system,Use system setting,சிஸ்டம் அமைப்பைப் பயன்படுத்து,translated,
settings.appearance_hint,The seeker side keeps its blue palette regardless — this affects employer screens and shared modals.,சீக்கர் பக்கம் நீல நிறமாக இருக்கும் — இது முதலாளி திரைகளை மட்டும் பாதிக்கும்.,translated,
settings.safety,Safety,பாதுகாப்பு,translated,
settings.sos_label,Safety SOS,பாதுகாப்பு SOS,translated,
settings.sos_value,Set up emergency contact,அவசர தொடர்பை அமை,translated,
settings.sos_hint,One-tap help to a trusted contact if you ever feel unsafe at work.,வேலையில் பாதுகாப்பற்றதாக உணர்ந்தால் ஒரு தட்டலில் நம்பகமானவருக்கு உதவி கேள்.,translated,
settings.account,Account,கணக்கு,translated,
settings.email,Email,மின்னஞ்சல்,translated,
settings.email_change_title,Change email,மின்னஞ்சலை மாற்று,translated,
settings.email_change_body,Email changes require verification — coming soon.,மின்னஞ்சல் மாற்றத்திற்கு சரிபார்ப்பு தேவை — விரைவில் வரும்.,translated,
settings.sign_out,Sign out,வெளியேறு,translated,
settings.sign_out_confirm_title,Sign out?,வெளியேற வேண்டுமா?,translated,
settings.sign_out_confirm_body,You'll need to sign in again to use Doondo.,Doondo பயன்படுத்த மீண்டும் உள்நுழைய வேண்டும்.,translated,
settings.delete_account,Delete account,கணக்கை நீக்கு,translated,
settings.delete_confirm_title,Delete your account?,உங்கள் கணக்கை நீக்க வேண்டுமா?,translated,
settings.delete_confirm_body,"This is permanent — all your applications, ratings, and chats will be erased. We're still building the in-app delete; email support@doondo.app to delete your account today.","இது நிரந்தரம் — உங்கள் அனைத்து விண்ணப்பங்கள், மதிப்பீடுகள் மற்றும் அரட்டைகள் அழிக்கப்படும். இப்போதைக்கு support@doondo.app க்கு மின்னஞ்சல் அனுப்புங்கள்.",translated,
settings.email_support,Email support,ஆதரவுக்கு மின்னஞ்சல்,translated,
settings.email_support_body,Send a delete request to support@doondo.app from the address on your account.,உங்கள் கணக்கின் மின்னஞ்சல் முகவரியிலிருந்து support@doondo.app க்கு நீக்கக் கோரிக்கையை அனுப்புங்கள்.,translated,
signup.header,Create account,கணக்கை உருவாக்கு,translated,
signup.title,Join Doondo,Doondo சேர்,translated,
signup.name,Name,பெயர்,translated,
signup.name_for_worker,Worker's name,,MISSING — needs translation,
signup.email,Email,மின்னஞ்சல்,translated,
signup.password,Password,கடவுச்சொல்,translated,
signup.phone,Phone,தொலைபேசி,translated,
signup.phone_for_worker,Worker's phone,,MISSING — needs translation,
signup.phone_helper,Used to reset your password if you forget it.,,MISSING — needs translation,
signup.phone_for_worker_helper,The worker's number — employers will call here.,,MISSING — needs translation,
signup.assisted_toggle_label,Setting this up for someone else?,,MISSING — needs translation,
signup.assisted_toggle_hint,Common for family members helping a worker who can't use the app alone.,,MISSING — needs translation,
signup.submit,Create account,கணக்கை உருவாக்கு,translated,
signup.submitting,Creating account…,,MISSING — needs translation,
jobs.greeting.still_up,STILL UP,இன்னும் விழித்திருக்கிறீர்கள்,translated,
jobs.greeting.good_morning,GOOD MORNING,காலை வணக்கம்,translated,
jobs.greeting.good_afternoon,GOOD AFTERNOON,மதிய வணக்கம்,translated,
jobs.greeting.good_evening,GOOD EVENING,மாலை வணக்கம்,translated,
jobs.greeting.good_night,GOOD NIGHT,இனிய இரவு,translated,
jobs.greeting.hello_named,"Hello, {{name}} ","வணக்கம், {{name}} ",translated,
jobs.greeting.hello_there,Hello there ,வணக்கம் ,translated,
jobs.subtitle.find_gig,Find your next gig nearby.,அருகில் உங்கள் அடுத்த வேலையைக் கண்டுபிடியுங்கள்.,translated,
jobs.subtitle.within_km_of_you,Within {{km}} km of you,உங்களைச் சுற்றி {{km}} கி.மீ-க்குள்,translated,
jobs.subtitle.within_km_of_your_area,Within {{km}} km of your area,உங்கள் பகுதியிலிருந்து {{km}} கி.மீ-க்குள்,translated,
jobs.subtitle.demo_location,Demo location — turn on GPS to see your area,டெமோ இடம் — உங்கள் பகுதியைப் பார்க்க GPS-ஐ இயக்கவும்,translated,
jobs.subtitle.within_km_of_place,Within {{km}} km of {{place}},{{place}} இலிருந்து {{km}} கிமீ க்குள்,translated,
jobs.job_count_one,{{count}} job,{{count}} வேலை,translated,
jobs.job_count_other,{{count}} jobs,{{count}} வேலைகள்,translated,
jobs.view.list,List,பட்டியல்,translated,
jobs.view.map,Map,வரைபடம்,translated,
jobs.search.placeholder,"Search by skill, title, company","திறன், தலைப்பு அல்லது நிறுவனத்தைத் தேடுங்கள்",translated,
jobs.sections.distance,DISTANCE,தூரம்,translated,
jobs.sections.recommended_for_you,Recommended for you,உங்களுக்கான பரிந்துரை,translated,
jobs.sections.see_all_arrow,See all →,அனைத்தையும் பார் →,translated,
jobs.filters.all,All,அனைத்தும்,translated,
jobs.filters.women_safe_only,Women-safe only,பெண்களுக்குப் பாதுகாப்பானவை மட்டும்,translated,
jobs.km_chip,{{km}} km,{{km}} கி.மீ,translated,
jobs.empty.eyebrow,QUIET HERE,இங்கே அமைதி,translated,
jobs.empty.title,No jobs in this radius yet,இந்த வரம்பில் இன்னும் வேலைகள் இல்லை,translated,
jobs.empty.message,Try widening the area or check back in a bit — new posts land throughout the day.,வரம்பை அதிகரிக்கவும் அல்லது சிறிது நேரம் கழித்து சரிபார்க்கவும் — நாள் முழுவதும் புதிய பதிவுகள் வரும்.,translated,
jobs.apply_alert.title,Applied,விண்ணப்பித்தது,translated,
jobs.apply_alert.couldnt_apply_title,Couldn't apply,விண்ணப்பிக்க முடியவில்லை,translated,
jobs.apply_alert.please_try_again,Please try again.,மீண்டும் முயற்சிக்கவும்.,translated,
jobs.mass_apply.applied_one,{{count}} application sent.,{{count}} விண்ணப்பம் அனுப்பப்பட்டது.,translated,
jobs.mass_apply.applied_other,{{count}} applications sent.,{{count}} விண்ணப்பங்கள் அனுப்பப்பட்டன.,translated,
jobs.mass_apply.already_one,{{count}} you'd already applied to.,{{count}} க்கு நீங்கள் ஏற்கனவே விண்ணப்பித்துள்ளீர்கள்.,translated,
jobs.mass_apply.already_other,{{count}} you'd already applied to.,{{count}} க்கு நீங்கள் ஏற்கனவே விண்ணப்பித்துள்ளீர்கள்.,translated,
jobs.mass_apply.closed_one,{{count}} closed before we could send.,அனுப்பும் முன் {{count}} மூடப்பட்டது.,translated,
jobs.mass_apply.closed_other,{{count}} closed before we could send.,அனுப்பும் முன் {{count}} மூடப்பட்டன.,translated,
jobs.mass_apply.missing_one,{{count}} no longer available.,{{count}} இனி கிடைக்கவில்லை.,translated,
jobs.mass_apply.missing_other,{{count}} no longer available.,{{count}} இனி கிடைக்கவில்லை.,translated,
jobs.mass_apply.failed_one,{{count}} couldn't be sent — please try again.,{{count}} அனுப்ப முடியவில்லை — மீண்டும் முயற்சிக்கவும்.,translated,
jobs.mass_apply.failed_other,{{count}} couldn't be sent — please try again.,{{count}} அனுப்ப முடியவில்லை — மீண்டும் முயற்சிக்கவும்.,translated,
jobs.mass_apply.none_sent,No applications sent.,எந்த விண்ணப்பமும் அனுப்பப்படவில்லை.,translated,
jobs.card.urgent,Urgent,அவசரம்,translated,
jobs.card.women_safe,Women-safe,பெண்களுக்குப் பாதுகாப்பானது,translated,
jobs.card.verified,Verified,சரிபார்க்கப்பட்டது,translated,
jobs.card.default_employer,Doondo Employer,Doondo முதலாளி,translated,
jobs.card.time.just_now,just now,இப்போது,translated,
jobs.card.time.minutes_ago,{{m}}m ago,{{m}} நிமிடம் முன்,translated,
